Model,QWK,Accuracy,F2,Remarks

Logistic Regression_no_bin_with bias_10cv,0.049378149261902,0.7222303741746148,0.06550560040500074,"Logistic Regression, no binning, with biased labels, with OHE and scaling_10cv"

Logistic Regression_no_bin_with no bias_10cv,0.049378149261902,0.7222303741746148,0.06550560040500074,"Logistic Regression, no binning, with no biased labels, with OHE and scaling_10cv"

SVC_no_bin_with no bias_10cv,0.04056177713960607,0.7225972120322817,0.05143560572381915,"SVC, no binning, with no biased labels, with OHE and scaling_10cv"

Ridge_no_bin_with no bias_10cv,0.03589048338986711,0.7223037417461482,0.045432536857300074,"Ridge, no binning, with no biased labels, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with no bias_10cv,0.10626515329081206,0.681951577402788,0.26014107709277806,"K-Neighbors Classifier, no binning, with no biased labels, with OHE and scaling_10cv"

Decision Tree_no_bin_with no bias_10cv,0.13823070514453412,0.7098312545854732,0.23763179751107888,"Decision Tree, no binning, with no biased labels, with OHE and scaling_10cv"

Random Forest_no_bin_with no bias_10cv,0.14184085478152958,0.7192956713132795,0.2167292744055358,"Random Forest, no binning, with no biased labels, with OHE and scaling_10cv"

XGB Classifier_no_bin_with no bias_10cv,0.12940191671796314,0.7261922230374175,0.17662136536980666,"XGB Classifier, no binning, with no biased labels, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with no bias_10cv,0.1287408381725022,0.7275862068965517,0.17143824624153348,"LGBM Classifier, no binning, with no biased labels, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with no bias_10cv,0.06109642063623947,0.7238444607483492,0.07826795067719419,"AdaBoost Classifier, no binning, with no biased labels, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_10cv,0.21050488183431665,0.7402787967718268,0.26741627207574625,"Logistic Regression, no binning, with biased labels, with OHE and scaling_10cv"

SVC_no_bin_with bias_10cv,0.18432931767471086,0.7417461482024944,0.21826414545533762,"SVC, no binning, with biased labels, with OHE and scaling_10cv"

Ridge_no_bin_with bias_10cv,0.18293337231186477,0.7374908290535583,0.22955686339911646,"Ridge, no binning, with biased labels, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_10cv,0.1940075473299054,0.7162876008804109,0.31154634595394937,"K-Neighbors Classifier, no binning, with biased labels, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_10cv,0.229847757321285,0.6897285399853265,0.4448453252901068,"Decision Tree, no binning, with biased labels, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_10cv,0.28360140577882104,0.7492296404988995,0.36857050061562724,"Random Forest, no binning, with biased labels, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_10cv,0.31155312334310625,0.7526779163609685,0.4091303955565208,"XGB Classifier, no binning, with biased labels, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_10cv,0.31546493391396313,0.757593543653705,0.39974577500787756,"LGBM Classifier, no binning, with biased labels, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_10cv,0.22398257278662226,0.7420396184886281,0.28496703772767185,"AdaBoost Classifier, no binning, with biased labels, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_10cv,0.2106441939435954,0.7404255319148936,0.26718389545511556,"Logistic Regression, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_10cv,0.18285561447797555,0.741085840058694,0.2178988697121959,"SVC, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_10cv,0.18247262236956566,0.7374174614820249,0.2290031014675648,"Ridge, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_10cv,0.19702827273896845,0.7164343360234777,0.31631536327773346,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_10cv,0.23230849167264372,0.6906089508437271,0.4467101288957112,"Decision Tree, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_10cv,0.27944282717839314,0.7484225972120322,0.3635244930770392,"Random Forest, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_10cv,0.3150564288846316,0.7537784299339692,0.41224242311095394,"XGB Classifier, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_10cv,0.31276062636643664,0.7567131327953044,0.39776958205003365,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_10cv,0.22398257278662226,0.7420396184886281,0.28496703772767185,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.22818166065823284,0.7407190022010272,0.29649414982107575,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.20634991083074192,0.7452677916360968,0.2440623017297424,"SVC, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.2010107455538158,0.7387380777696257,0.255945632302813,"Ridge, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.21828640179185546,0.7199559794570799,0.3424259590573781,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.29805372177804235,0.7154071900220103,0.4989795187455809,"Decision Tree, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.33771376809711395,0.766397652237711,0.41184560296680484,"Random Forest, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.37958952012605485,0.7707263389581805,0.4801356887247656,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.3803256568313547,0.7743947175348496,0.4682583830626784,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.24799942442756065,0.7415994130594277,0.32879942692118697,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.2103795795928939,0.7401320616287601,0.26765307024595614,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.1836509359584904,0.7412325752017608,0.21876582960388302,"SVC, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.18361743185270077,0.7375641966250918,0.2304076072523285,"Ridge, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.21186145933501935,0.7214233308877475,0.3272721007998448,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.24068605130242907,0.6942039618488628,0.4523442278342255,"Decision Tree, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.29181176544369547,0.7524578136463684,0.3729822383405628,"Random Forest, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.3146397824948238,0.7537050623624358,0.4116111275642493,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.31738991022038604,0.7582538517975055,0.4013398402442275,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.23040392811620675,0.7433602347762289,0.2920402125757643,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.2060293553611295,0.7391782831988261,0.26319071446095266,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.18559089463411865,0.7428466617754952,0.2168117660669457,"SVC, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

